intersection,camera,date,time,direction,car,motorbike,bus,truck
Jehangir Chowk,j3,2023-01-11,09:00:00,DOWN,0.0,0.0,1.0,0.0
Jehangir Chowk,j3,2023-01-11,09:00:00,LEFT,25.0,31.0,6.0,4.0
Jehangir Chowk,j3,2023-01-11,09:00:00,RIGHT,1.0,4.0,5.0,3.0
Jehangir Chowk,j3,2023-01-11,09:00:00,UP,1.0,0.0,3.0,0.0
Jehangir Chowk,j3,2023-01-11,09:05:00,DOWN,0.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,09:05:00,LEFT,23.0,31.0,7.0,14.0
Jehangir Chowk,j3,2023-01-11,09:05:00,RIGHT,3.0,4.0,5.0,5.0
Jehangir Chowk,j3,2023-01-11,09:05:00,UP,4.0,0.0,1.0,0.0
Jehangir Chowk,j3,2023-01-11,09:10:00,DOWN,1.0,0.0,0.0,1.0
Jehangir Chowk,j3,2023-01-11,09:10:00,LEFT,30.0,33.0,10.0,5.0
Jehangir Chowk,j3,2023-01-11,09:10:00,RIGHT,1.0,2.0,4.0,4.0
Jehangir Chowk,j3,2023-01-11,09:10:00,UP,2.0,0.0,0.0,1.0
Jehangir Chowk,j3,2023-01-11,09:15:00,DOWN,1.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,09:15:00,LEFT,41.0,33.0,10.0,9.0
Jehangir Chowk,j3,2023-01-11,09:15:00,RIGHT,2.0,2.0,3.0,6.0
Jehangir Chowk,j3,2023-01-11,09:15:00,UP,3.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,09:20:00,DOWN,1.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,09:20:00,LEFT,36.0,36.0,6.0,11.0
Jehangir Chowk,j3,2023-01-11,09:20:00,RIGHT,1.0,6.0,5.0,4.0
Jehangir Chowk,j3,2023-01-11,09:20:00,UP,3.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,09:25:00,DOWN,1.0,1.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,09:25:00,LEFT,27.0,34.0,6.0,7.0
Jehangir Chowk,j3,2023-01-11,09:25:00,RIGHT,9.0,4.0,4.0,4.0
Jehangir Chowk,j3,2023-01-11,09:25:00,UP,1.0,0.0,0.0,1.0
Jehangir Chowk,j3,2023-01-11,09:30:00,DOWN,0.0,0.0,1.0,0.0
Jehangir Chowk,j3,2023-01-11,09:30:00,LEFT,20.0,43.0,8.0,5.0
Jehangir Chowk,j3,2023-01-11,09:30:00,RIGHT,1.0,0.0,1.0,3.0
Jehangir Chowk,j3,2023-01-11,09:30:00,UP,2.0,0.0,2.0,0.0
Jehangir Chowk,j3,2023-01-11,09:35:00,DOWN,0.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,09:35:00,LEFT,28.0,43.0,10.0,13.0
Jehangir Chowk,j3,2023-01-11,09:35:00,RIGHT,6.0,0.0,1.0,4.0
Jehangir Chowk,j3,2023-01-11,09:35:00,UP,6.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,09:40:00,DOWN,1.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,09:40:00,LEFT,30.0,39.0,6.0,18.0
